oncelik_puani,urun_id,urun_adi,magaza,url,sorun,aciklama_uzunlugu,ayni_aciklamali_urun_sayisi,goruntulenme_90g,satilan_adet
200,9561,"Enervit Protein Bar %26 40 gr Crispy Dark-Choco  1 Adet",Provitanya,https://sportoonline.com/tr/urun/enervit-protein-bar-26-40-gr-crispy-dark-choco-1-adet,ince_aciklama,132,0,0,10
40,9106,"Herbina Melatonin 90 Tablet",ProteinMax,https://sportoonline.com/tr/urun/herbina-melatonin-6419,kopya_aciklama,150,265,0,2
20,6468,"AVESSA PORTATİF BASKETBOL POTASI 1,40-2 MT CPBP-10",Ceysport,https://sportoonline.com/tr/urun/avessa-portatif-basketbol-potasi-140-2-mt-cpbp-10,ince_aciklama,25,0,0,1
20,6691,"Atlama İpi Avessa Kırmızı",Ceysport,https://sportoonline.com/tr/urun/atlama-ipi-avessa-kirmizi,ince_aciklama,54,0,0,1
20,9568,"Eyüp Sabri Tuncer Doğal Çam Özlü Diş Macunu  90 Ml",Provitanya,https://sportoonline.com/tr/urun/eyup-sabri-tuncer-dogal-cam-ozlu-dis-macunu-90-ml,ince_aciklama,127,0,0,1
20,9721,"Multipower Whey Isolate Protein Çikolata 900 gr",Provitanya,https://sportoonline.com/tr/urun/multipower-whey-isolate-protein-cikolata-900-gr,ince_aciklama,124,0,0,1
20,10539,"Bigjoy Creapure Creatine  253 Gr",Provitanya,https://sportoonline.com/tr/urun/bigjoy-creapure-creatine-253-gr,ince_aciklama,109,0,0,1
1,885,"XTR Fitness T-Bar Rowing Sabitleyici Aparat",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-t-bar-rowing-sabitleyici-aparat,ince_aciklama+aciklama_ad_ile_ayni,43,0,1,0
1,904,"JOINFIT PRO Anti-Burst Yoga ve Pilates Topu 75 Cm Koyu Gri",multiprice,https://sportoonline.com/tr/urun/joinfit-pro-anti-burst-yoga-ve-pilates-topu-75-cm-koyu-gri,ince_aciklama+aciklama_ad_ile_ayni,58,0,1,0
1,1740,"Amy Diz Üstü Yoga ve Pilates Çorabı Krem",Norfolk,https://sportoonline.com/tr/urun/amy-diz-ustu-yoga-ve-pilates-corabi-krem,kopya_aciklama,421,3,1,0
1,8898,"Bigjoy Iso Clear Whey Isolate Ice Tea Şeftali 960 gram",ProteinMax,https://sportoonline.com/tr/urun/bigjoy-iso-clear-whey-isolate-6732,kopya_aciklama,150,265,1,0
1,9387,"Applied Endurance Isotonic Energy Gel 60 gr Energy Burst 1 Adet",Provitanya,https://sportoonline.com/tr/urun/applied-endurance-isotonic-energy-gel-60-gr-energy-burst-1-adet,ince_aciklama,140,0,1,0
1,9388,"Applied Endurance Isotonic Energy Gel 60 gr Energy Burst 20 Adet",Provitanya,https://sportoonline.com/tr/urun/applied-endurance-isotonic-energy-gel-60-gr-energy-burst-20-adet,ince_aciklama,141,0,1,0
1,9389,"Applied Endurance Sprint Energy Gel Caffeine 60 gr Energy Burst 20 Adet",Provitanya,https://sportoonline.com/tr/urun/applied-endurance-sprint-energy-gel-caffeine-60-gr-energy-burst-20-adet,ince_aciklama,148,0,1,0
1,9390,"Applied Endurance Sprint Energy Gel Caffeine 60 gr Energy Burst 1 Adet",Provitanya,https://sportoonline.com/tr/urun/applied-endurance-sprint-energy-gel-caffeine-60-gr-energy-burst-1-adet,ince_aciklama,147,0,1,0
1,9392,"Applied Lifestyle Sports Water Bottle Blue  1000 ml",Provitanya,https://sportoonline.com/tr/urun/applied-lifestyle-sports-water-bottle-blue-1000-ml,ince_aciklama,128,0,1,0
